,city,state,averageTempMonthly,month,lat,lon,averageAQIMonthly,mainPollutantMonthly,AQI category,averagePrecipitationMonthly,averageWindSpeedMonthly
175,Baltimore,MD,28,July,39.2904,-76.6122,73,Ozone,Moderate,3,11
176,Boston,MA,24,July,42.3601,-71.0589,58,Ozone,Moderate,8,14
177,Chapel Hill,NC,28,July,35.9132,-79.0558,48,Ozone,Good,4,8
178,Charlotte,NC,27,July,35.2271,-80.8431,67,Ozone,Moderate,4,8
179,Chicago,IL,24,July,41.8781,-87.6298,85,Ozone,Moderate,9,11
180,Cleveland,OH,24,July,41.4993,-81.6944,72,Ozone,Moderate,4,12
181,Dallas,TX,32,July,32.7767,-96.797,82,Ozone,Moderate,0,13
182,Denver,CO,24,July,39.7392,-104.9903,87,Ozone,Moderate,1,13
183,Detroit,MI,22,July,42.3314,-83.0458,70,Ozone,Moderate,5,11
184,Greensboro,NC,26,July,36.0726,-79.7915,56,Ozone,Good,2,9
185,Houston,TX,30,July,29.7604,-95.3698,71,PM2.5,Moderate,1,13
186,Ithaca,NY,22,July,42.444,-76.5019,41,Ozone,Good,5,8
187,Kahului,HI,26,July,20.889,-156.4743,14,PM2.5,Good,0,27
188,Los Angeles,CA,23,July,34.0522,-118.2437,159,Ozone,Unhealthy,0,4
189,Madison,WI,23,July,43.0731,-89.4012,60,Ozone,Moderate,3,7
190,Miami,FL,30,July,25.7617,-80.1918,56,PM2.5,Moderate,6,7
191,Minneapolis,MN,23,July,44.9778,-93.265,68,Ozone,Moderate,2,10
192,New York City,NY,26,July,40.7128,-74.006,87,Ozone,Moderate,5,8
193,Orlando,FL,28,July,28.5383,-81.3792,41,Ozone,Good,4,9
194,Philadelphia,PA,26,July,39.9526,-75.1652,75,Ozone,Moderate,4,11
195,Phoenix,AZ,39,July,33.4484,-112.074,128,Ozone,Unhealthy for Sensitive Groups,0,13
196,Portland,OR,22,July,45.5155,-122.6793,45,Ozone,Good,0,10
197,Raleigh,NC,28,July,35.7796,-78.6382,54,PM2.5,Good,4,8
198,Richmond,VA,27,July,37.5407,-77.436,52,Ozone,Good,4,10
199,San Francisco,CA,17,July,37.7749,-122.4194,63,Ozone,Moderate,0,15
200,Seattle,WA,20,July,47.6062,-122.3321,53,Ozone,Good,0,7
201,State College,PA,22,July,40.7934,-77.86,53,Ozone,Good,4,6
202,"Washington, D.C.",DC,27,July,38.9072,-77.0369,73,Ozone,Moderate,5,11
203,Athens,GA,26,August,33.9519,-83.3576,70,Ozone,Moderate,4,5
204,Baltimore,MD,27,August,39.2904,-76.6122,53,Ozone,Good,2,14
205,Boston,MA,22,August,42.3601,-71.0589,43,Ozone,Good,5,15
206,Chapel Hill,NC,27,August,35.9132,-79.0558,45,Ozone,Good,1,8
207,Charlotte,NC,26,August,35.2271,-80.8431,62,Ozone,Moderate,5,8
208,Chicago,IL,24,August,41.8781,-87.6298,72,Ozone,Moderate,3,14
209,Cleveland,OH,22,August,41.4993,-81.6944,56,PM2.5,Moderate,4,15
210,Dallas,TX,34,August,32.7767,-96.797,107,Ozone,Moderate,0,12
211,Denver,CO,23,August,39.7392,-104.9903,86,Ozone,Moderate,1,13
212,Detroit,MI,21,August,42.3314,-83.0458,62,PM2.5,Moderate,4,13
213,Greensboro,NC,25,August,36.0726,-79.7915,49,Ozone,Good,2,9
214,Houston,TX,31,August,29.7604,-95.3698,98,Ozone,Unhealthy for Sensitive Groups,0,14
215,Ithaca,NY,19,August,42.444,-76.5019,33,Ozone,Good,6,10
216,Kahului,HI,27,August,20.889,-156.4743,15,PM2.5,Good,0,26
217,Los Angeles,CA,23,August,34.0522,-118.2437,116,Ozone,Unhealthy for Sensitive Groups,1,4
218,Madison,WI,22,August,43.0731,-89.4012,52,PM2.5,Moderate,2,9
219,Miami,FL,30,August,25.7617,-80.1918,48,PM2.5,Moderate,8,10
220,Minneapolis,MN,23,August,44.9778,-93.265,61,PM2.5,Moderate,2,10
221,New York City,NY,24,August,40.7128,-74.006,54,Ozone,Good,2,9
222,Orlando,FL,29,August,28.5383,-81.3792,40,Ozone,Good,5,10
223,Philadelphia,PA,25,August,39.9526,-75.1652,61,PM2.5,Moderate,2,12
224,Phoenix,AZ,37,August,33.4484,-112.074,93,Ozone,Moderate,0,12
225,Portland,OR,23,August,45.5155,-122.6793,71,Ozone,Good,0,9
226,Raleigh,NC,27,August,35.7796,-78.6382,50,PM2.5,Good,1,8
227,Richmond,VA,26,August,37.5407,-77.436,47,Ozone,Good,1,11
228,San Francisco,CA,19,August,37.7749,-122.4194,56,PM2.5,Moderate,0,14
229,Seattle,WA,21,August,47.6062,-122.3321,65,Ozone,Good,0,6
230,State College,PA,21,August,40.7934,-77.86,41,Ozone,Good,5,7
231,"Washington, D.C.",DC,26,August,38.9072,-77.0369,56,Ozone,Moderate,3,12
232,Athens,GA,22,September,33.9519,-83.3576,58,Ozone,Moderate,0,6
233,Baltimore,MD,23,September,39.2904,-76.6122,48,Ozone,Good,3,15
234,Boston,MA,20,September,42.3601,-71.0589,46,PM2.5,Good,3,15
235,Chapel Hill,NC,23,September,35.9132,-79.0558,38,Ozone,Good,4,7
236,Charlotte,NC,23,September,35.2271,-80.8431,49,Ozone,Good,0,8
237,Chicago,IL,20,September,41.8781,-87.6298,55,Ozone,Moderate,2,12
238,Cleveland,OH,20,September,41.4993,-81.6944,47,PM2.5,Good,0,13
239,Dallas,TX,29,September,32.7767,-96.797,94,Ozone,Unhealthy for Sensitive Groups,2,11
240,Denver,CO,19,September,39.7392,-104.9903,68,Ozone,Moderate,0,12
241,Detroit,MI,18,September,42.3314,-83.0458,55,PM2.5,Moderate,1,10
242,Greensboro,NC,21,September,36.0726,-79.7915,42,Ozone,Good,4,8
243,Houston,TX,29,September,29.7604,-95.3698,98,Ozone,Moderate,1,12
244,Ithaca,NY,16,September,42.444,-76.5019,33,Ozone,Good,2,7
245,Kahului,HI,26,September,20.889,-156.4743,15,PM2.5,Good,0,24
246,Los Angeles,CA,22,September,34.0522,-118.2437,89,Ozone,Moderate,0,4
247,Madison,WI,20,September,43.0731,-89.4012,43,Ozone,Good,3,10
248,Miami,FL,29,September,25.7617,-80.1918,40,PM2.5,Good,10,8
249,Minneapolis,MN,20,September,44.9778,-93.265,53,PM2.5,Moderate,4,10
250,New York City,NY,22,September,40.7128,-74.006,55,Ozone,Good,7,11
251,Orlando,FL,27,September,28.5383,-81.3792,45,Ozone,Good,4,9
252,Philadelphia,PA,22,September,39.9526,-75.1652,57,PM2.5,Moderate,5,13
253,Phoenix,AZ,33,September,33.4484,-112.074,77,PM10,Moderate,0,10
254,Portland,OR,19,September,45.5155,-122.6793,40,Ozone,Good,1,9
255,Raleigh,NC,23,September,35.7796,-78.6382,41,Ozone,Good,4,7
256,Richmond,VA,22,September,37.5407,-77.436,40,Ozone,Good,4,10
257,San Francisco,CA,18,September,37.7749,-122.4194,54,PM2.5,Good,0,13
258,Seattle,WA,16,September,47.6062,-122.3321,42,Ozone,Good,2,6
259,State College,PA,17,September,40.7934,-77.86,36,Ozone,Good,3,6
260,"Washington, D.C.",DC,23,September,38.9072,-77.0369,46,Ozone,Good,3,12
261,Athens,GA,17,October,33.9519,-83.3576,46,PM2.5,Good,1,7
262,Baltimore,MD,18,October,39.2904,-76.6122,37,Ozone,Good,0,14
263,Boston,MA,15,October,42.3601,-71.0589,38,Ozone,Good,1,14
264,Chapel Hill,NC,17,October,35.9132,-79.0558,35,Ozone,Good,1,6
265,Charlotte,NC,18,October,35.2271,-80.8431,43,Ozone,Good,0,8
266,Chicago,IL,14,October,41.8781,-87.6298,50,PM2.5,Good,2,15
267,Cleveland,OH,15,October,41.4993,-81.6944,45,PM2.5,Good,3,19
268,Dallas,TX,21,October,32.7767,-96.797,50,Ozone,Good,9,13
269,Denver,CO,11,October,39.7392,-104.9903,52,Ozone,Good,0,12
270,Detroit,MI,12,October,42.3314,-83.0458,51,PM2.5,Moderate,1,15
271,Greensboro,NC,16,October,36.0726,-79.7915,40,Ozone,Good,1,8
272,Houston,TX,23,October,29.7604,-95.3698,59,Ozone,Moderate,2,17
273,Ithaca,NY,12,October,42.444,-76.5019,32,Ozone,Good,3,11
274,Kahului,HI,25,October,20.889,-156.4743,10,PM2.5,Good,0,16
275,Los Angeles,CA,20,October,34.0522,-118.2437,84,Ozone,Moderate,0,4
276,Madison,WI,11,October,43.0731,-89.4012,33,PM2.5,Good,2,12
277,Miami,FL,27,October,25.7617,-80.1918,51,Ozone,Good,4,11
278,Minneapolis,MN,10,October,44.9778,-93.265,38,PM2.5,Good,3,12
279,New York City,NY,17,October,40.7128,-74.006,43,PM2.5,Good,2,9
280,Orlando,FL,24,October,28.5383,-81.3792,43,Ozone,Good,1,12
281,Philadelphia,PA,16,October,39.9526,-75.1652,48,PM2.5,Good,0,11
282,Phoenix,AZ,28,October,33.4484,-112.074,87,PM10,Moderate,0,9
283,Portland,OR,14,October,45.5155,-122.6793,43,PM2.5,Good,2,8
284,Raleigh,NC,17,October,35.7796,-78.6382,38,Ozone,Good,1,6
285,Richmond,VA,17,October,37.5407,-77.436,37,Ozone,Good,1,9
286,San Francisco,CA,17,October,37.7749,-122.4194,48,PM2.5,Good,0,10
287,Seattle,WA,12,October,47.6062,-122.3321,47,PM2.5,Good,2,6
288,State College,PA,12,October,40.7934,-77.86,34,Ozone,Good,1,8
289,"Washington, D.C.",DC,17,October,38.9072,-77.0369,40,Ozone,Good,0,11
290,Athens,GA,11,November,33.9519,-83.3576,53,PM2.5,Moderate,1,8
291,Baltimore,MD,10,November,39.2904,-76.6122,39,PM2.5,Good,2,15
292,Boston,MA,6,November,42.3601,-71.0589,36,Ozone,Good,1,17
293,Chapel Hill,NC,11,November,35.9132,-79.0558,38,PM2.5,Good,1,7
294,Charlotte,NC,11,November,35.2271,-80.8431,46,PM2.5,Good,2,7
295,Chicago,IL,7,November,41.8781,-87.6298,50,PM2.5,Good,0,15
296,Cleveland,OH,8,November,41.4993,-81.6944,48,PM2.5,Good,1,20
297,Dallas,TX,14,November,32.7767,-96.797,52,PM2.5,Moderate,0,11
298,Denver,CO,5,November,39.7392,-104.9903,52,Ozone,Good,0,10
299,Detroit,MI,5,November,42.3314,-83.0458,56,PM2.5,Good,0,16
300,Greensboro,NC,10,November,36.0726,-79.7915,36,PM2.5,Good,1,8
301,Houston,TX,17,November,29.7604,-95.3698,50,PM2.5,Good,3,15
302,Ithaca,NY,3,November,42.444,-76.5019,31,Ozone,Good,2,13
303,Kahului,HI,25,November,20.889,-156.4743,15,PM2.5,Good,0,19
304,Los Angeles,CA,18,November,34.0522,-118.2437,65,PM2.5,Moderate,0,4
305,Madison,WI,4,November,43.0731,-89.4012,32,PM2.5,Good,1,12
306,Miami,FL,25,November,25.7617,-80.1918,38,Ozone,Good,7,12
307,Minneapolis,MN,3,November,44.9778,-93.265,40,PM2.5,Good,0,12
308,New York City,NY,9,November,40.7128,-74.006,45,PM2.5,Good,1,10
309,Orlando,FL,21,November,28.5383,-81.3792,39,Ozone,Good,4,12
310,Philadelphia,PA,8,November,39.9526,-75.1652,53,PM2.5,Moderate,2,12
311,Phoenix,AZ,21,November,33.4484,-112.074,72,PM10,Moderate,0,8
312,Portland,OR,9,November,45.5155,-122.6793,56,PM2.5,Moderate,4,10
313,Raleigh,NC,11,November,35.7796,-78.6382,43,PM2.5,Good,1,7
314,Richmond,VA,9,November,37.5407,-77.436,40,PM2.5,Good,1,9
315,San Francisco,CA,14,November,37.7749,-122.4194,50,PM2.5,Moderate,0,9
316,Seattle,WA,7,November,47.6062,-122.3321,59,PM2.5,Moderate,3,6
317,State College,PA,5,November,40.7934,-77.86,37,Ozone,Good,1,10
318,"Washington, D.C.",DC,10,November,38.9072,-77.0369,42,PM2.5,Good,2,11
319,Athens,GA,9,December,33.9519,-83.3576,46,PM2.5,Good,3,8
320,Baltimore,MD,8,December,39.2904,-76.6122,39,PM2.5,Good,5,13
321,Boston,MA,5,December,42.3601,-71.0589,39,PM2.5,Good,4,15
322,Chapel Hill,NC,10,December,35.9132,-79.0558,35,PM2.5,Good,6,7
323,Charlotte,NC,9,December,35.2271,-80.8431,43,PM2.5,Good,5,9
324,Chicago,IL,5,December,41.8781,-87.6298,51,PM2.5,Good,2,14
325,Cleveland,OH,7,December,41.4993,-81.6944,51,PM2.5,Moderate,2,17
326,Dallas,TX,12,December,32.7767,-96.797,43,PM2.5,Good,3,12
327,Denver,CO,1,December,39.7392,-104.9903,52,Ozone,Good,0,10
328,Detroit,MI,4,December,42.3314,-83.0458,53,PM2.5,Moderate,2,14
329,Greensboro,NC,7,December,36.0726,-79.7915,37,PM2.5,Good,5,9
330,Houston,TX,15,December,29.7604,-95.3698,58,PM2.5,Moderate,3,16
331,Ithaca,NY,3,December,42.444,-76.5019,28,Ozone,Good,4,12
332,Kahului,HI,23,December,20.889,-156.4743,14,PM2.5,Good,0,19
333,Los Angeles,CA,16,December,34.0522,-118.2437,69,PM2.5,Moderate,3,4
334,Madison,WI,2,December,43.0731,-89.4012,34,PM2.5,Good,1,11
335,Miami,FL,22,December,25.7617,-80.1918,44,Ozone,Good,3,13
336,Minneapolis,MN,1,December,44.9778,-93.265,46,PM2.5,Good,2,10
337,New York City,NY,7,December,40.7128,-74.006,55,PM2.5,Moderate,6,10
338,Orlando,FL,18,December,28.5383,-81.3792,35,Ozone,Good,3,13
339,Philadelphia,PA,7,December,39.9526,-75.1652,59,PM2.5,Moderate,6,11
340,Phoenix,AZ,15,December,33.4484,-112.074,84,PM2.5,Moderate,0,7
341,Portland,OR,8,December,45.5155,-122.6793,40,PM2.5,Good,7,13
342,Raleigh,NC,10,December,35.7796,-78.6382,38,PM2.5,Good,5,7
343,Richmond,VA,8,December,37.5407,-77.436,39,PM2.5,Good,7,8
344,San Francisco,CA,11,December,37.7749,-122.4194,53,PM2.5,Moderate,2,8
345,Seattle,WA,7,December,47.6062,-122.3321,50,PM2.5,Good,5,6
346,State College,PA,4,December,40.7934,-77.86,40,PM2.5,Good,3,8
347,"Washington, D.C.",DC,8,December,38.9072,-77.0369,41,PM2.5,Good,5,10
